val_original/ILSVRC2012_val_00015059.JPEG 116,444,307,13
train/n01665541/n01665541_3002.JPEG 32,54,126,107,13
train/n02120505/n02120505_15761.JPEG 108,48,337,332,57
train/n02120505/n02120505_305.JPEG 1,11,396,209,57
train/n02120505/n02120505_11457.JPEG 55,22,323,495,57
train/n01644373/n01644373_5186.JPEG 186,150,494,359,11
train/n01644373/n01644373_736.JPEG 140,58,367,242,11
train/n01644373/n01644373_10573.JPEG 122,92,472,318,11
train/n01644373/n01644373_150.JPEG 223,135,341,255,11
train/n02027492/n02027492_5401.JPEG 254,169,474,343,44 80,145,265,312,44
train/n02027492/n02027492_2828.JPEG 37,98,314,254,44
val_original/ILSVRC2012_val_00011576.JPEG 27,9,379,369,99
train/n02643566/n02643566_7048.JPEG 8,9,311,336,99
train/n01756291/n01756291_8222.JPEG 61,41,469,317,25
train/n01756291/n01756291_5585.JPEG 31,29,319,189,25
train/n01756291/n01756291_15055.JPEG 1,11,74,67,25
train/n01756291/n01756291_6963.JPEG 1,106,592,429,25
train/n02051845/n02051845_13237.JPEG 1,35,307,498,46
train/n02051845/n02051845_22826.JPEG 85,41,399,228,46
train/n02051845/n02051845_1233.JPEG 76,21,499,276,46
train/n02422106/n02422106_3398.JPEG 12,19,91,73,77
train/n02422106/n02422106_1836.JPEG 137,84,293,337,77
train/n02422106/n02422106_8860.JPEG 67,3,294,457,77
train/n02422106/n02422106_849.JPEG 48,1,362,498,77
train/n01753488/n01753488_4608.JPEG 1,1,686,446,24
train/n01753488/n01753488_8130.JPEG 1,1,337,217,24
train/n01753488/n01753488_2994.JPEG 93,90,499,220,24
train/n01753488/n01753488_11027.JPEG 99,111,450,335,24
train/n02129604/n02129604_16793.JPEG 2,9,463,399,64
train/n02129604/n02129604_12875.JPEG 140,76,385,273,64
train/n02129604/n02129604_19987.JPEG 4,98,558,397,64
train/n02129604/n02129604_5070.JPEG 72,1,306,298,64
train/n01601694/n01601694_4557.JPEG 106,102,273,293,8
train/n01601694/n01601694_17105.JPEG 72,96,357,337,8
train/n02129604/n02129604_4858.JPEG 1,12,449,334,64
train/n02129604/n02129604_2437.JPEG 16,15,484,294,64
train/n02129604/n02129604_1086.JPEG 51,94,286,390,64
train/n02129604/n02129604_1055.JPEG 43,65,337,228,64
train/n01843065/n01843065_3883.JPEG 77,22,273,472,31
train/n01843065/n01843065_3379.JPEG 157,119,475,304,31
train/n01843065/n01843065_3621.JPEG 173,47,296,355,31
train/n01843065/n01843065_9661.JPEG 137,120,263,463,31
val_original/ILSVRC2012_val_00026880.JPEG 0,1,296,260,63
train/n02129165/n02129165_1601.JPEG 199,50,441,296,63
train/n02129165/n02129165_7087.JPEG 1,2,499,326,63
train/n02129165/n02129165_12247.JPEG 43,18,326,428,63
train/n02129165/n02129165_25527.JPEG 234,104,1201,629,63
train/n02408429/n02408429_7676.JPEG 142,76,437,299,75
train/n02408429/n02408429_4951.JPEG 85,245,276,497,75
train/n02397096/n02397096_2509.JPEG 69,97,499,300,73
train/n01797886/n01797886_2284.JPEG 109,37,390,314,26
val_original/ILSVRC2012_val_00005328.JPEG 43,53,247,451,26
train/n02480495/n02480495_505.JPEG 19,57,284,399,85
train/n02480495/n02480495_17318.JPEG 93,29,133,119,85 134,86,164,129,85 218,1,235,38,85
train/n02480495/n02480495_6039.JPEG 97,91,228,174,85
val_original/ILSVRC2012_val_00041751.JPEG 45,77,378,272,35
train/n02422106/n02422106_1699.JPEG 41,31,213,167,77
train/n02422106/n02422106_4738.JPEG 223,170,479,413,77
val_original/ILSVRC2012_val_00014740.JPEG 128,110,326,282,77
train/n02443484/n02443484_2055.JPEG 59,130,315,301,82
train/n02443484/n02443484_12172.JPEG 120,53,332,374,82
train/n02443484/n02443484_8297.JPEG 5,21,445,358,82
train/n01883070/n01883070_9334.JPEG 1,13,309,285,38
train/n01883070/n01883070_166.JPEG 97,81,414,342,38
train/n01883070/n01883070_429.JPEG 98,28,364,288,38
train/n01883070/n01883070_1834.JPEG 46,160,291,362,38
train/n02128757/n02128757_15264.JPEG 33,77,471,253,61
train/n02128757/n02128757_3267.JPEG 68,58,395,299,61
train/n02128757/n02128757_11978.JPEG 65,122,499,282,61
val_original/ILSVRC2012_val_00032794.JPEG 1,65,410,373,61
train/n02128757/n02128757_6391.JPEG 39,45,376,343,61
train/n02129165/n02129165_7082.JPEG 131,39,499,329,63
train/n02129165/n02129165_19094.JPEG 20,80,392,452,63
train/n02129165/n02129165_17044.JPEG 238,59,484,325,63
train/n02437616/n02437616_68.JPEG 10,1,341,498,79
train/n02437616/n02437616_2547.JPEG 43,32,307,498,79
train/n02437616/n02437616_2542.JPEG 332,161,471,388,79 209,160,353,302,79
train/n01873310/n01873310_2469.JPEG 166,164,335,273,36
train/n01873310/n01873310_21483.JPEG 25,146,472,257,36
train/n01582220/n01582220_7277.JPEG 64,121,381,239,6
train/n01582220/n01582220_5158.JPEG 79,48,474,293,6
train/n01582220/n01582220_10496.JPEG 47,110,321,461,6
val_original/ILSVRC2012_val_00047827.JPEG 246,235,462,444,6
train/n01582220/n01582220_10215.JPEG 138,102,466,275,6
val_original/ILSVRC2012_val_00011018.JPEG 19,67,565,426,63 27,29,260,350,63
val_original/ILSVRC2012_val_00003788.JPEG 1,28,334,279,63
train/n01871265/n01871265_1031.JPEG 18,25,322,482,35
train/n01871265/n01871265_1579.JPEG 159,18,499,374,35
train/n01871265/n01871265_8330.JPEG 196,72,499,332,35 2,36,266,332,35
train/n01871265/n01871265_811.JPEG 129,1,499,374,35
train/n01753488/n01753488_1858.JPEG 1,12,431,265,24
val_original/ILSVRC2012_val_00013772.JPEG 75,71,499,270,24
val_original/ILSVRC2012_val_00033749.JPEG 127,68,406,247,24
train/n01753488/n01753488_5546.JPEG 1,1,521,367,24
train/n02480855/n02480855_9139.JPEG 87,1,499,334,86
train/n02480855/n02480855_11733.JPEG 28,2,498,446,86
train/n02480855/n02480855_15043.JPEG 79,15,411,379,86
train/n02130308/n02130308_12006.JPEG 242,108,421,314,65
train/n02130308/n02130308_16379.JPEG 1,92,498,284,65
train/n02130308/n02130308_2607.JPEG 219,82,386,253,65
train/n01740131/n01740131_114.JPEG 1,56,434,333,23
train/n01740131/n01740131_10220.JPEG 16,126,499,209,23
train/n01740131/n01740131_7469.JPEG 21,39,584,330,23
train/n01740131/n01740131_8029.JPEG 36,90,489,313,23
train/n02085620/n02085620_5699.JPEG 168,82,372,281,48
train/n02086646/n02086646_5564.JPEG 84,41,360,245,48
train/n02085620/n02085620_6709.JPEG 98,79,403,374,48
train/n02492035/n02492035_1914.JPEG 1,13,382,332,92
train/n02492035/n02492035_7181.JPEG 36,17,270,498,92
train/n02492035/n02492035_9345.JPEG 189,127,251,172,92
train/n01440764/n01440764_1091.JPEG 81,109,499,374,0
train/n01440764/n01440764_898.JPEG 15,27,464,215,0
train/n02130308/n02130308_4000.JPEG 88,75,399,286,65 227,80,388,258,65
train/n02130308/n02130308_18126.JPEG 90,30,498,286,65
train/n02130308/n02130308_2415.JPEG 29,61,422,331,65
train/n02130308/n02130308_16214.JPEG 77,82,423,312,65
train/n01665541/n01665541_8636.JPEG 68,143,472,268,13
train/n01665541/n01665541_15406.JPEG 128,106,420,287,13
train/n01665541/n01665541_5615.JPEG 1,12,499,284,13
train/n02128757/n02128757_5876.JPEG 29,35,309,226,61
train/n02128757/n02128757_5799.JPEG 55,4,249,167,61
train/n02006656/n02006656_10556.JPEG 50,26,409,341,39
train/n02006656/n02006656_8336.JPEG 133,70,407,309,39
train/n02006656/n02006656_9174.JPEG 55,76,400,258,39
train/n02397096/n02397096_2783.JPEG 2,94,355,228,73
train/n02397096/n02397096_2501.JPEG 62,1,499,324,73
train/n02397096/n02397096_8717.JPEG 16,113,373,442,73
train/n01740131/n01740131_15983.JPEG 156,3,365,176,23
train/n01740131/n01740131_10065.JPEG 72,93,498,259,23
train/n01740131/n01740131_7364.JPEG 106,137,271,327,23
train/n01740131/n01740131_10577.JPEG 59,94,499,298,23
train/n01695060/n01695060_15466.JPEG 62,277,271,385,17
train/n01695060/n01695060_23744.JPEG 167,197,468,319,17
train/n01695060/n01695060_13742.JPEG 131,91,408,374,17
train/n02480495/n02480495_20893.JPEG 172,48,498,331,85
train/n02480495/n02480495_25354.JPEG 39,1,499,214,85
train/n02526121/n02526121_922.JPEG 1,63,410,373,97
val_original/ILSVRC2012_val_00000066.JPEG 94,71,380,269,97
train/n02526121/n02526121_300.JPEG 1,78,465,243,97
train/n01753488/n01753488_10981.JPEG 65,1,455,340,24
train/n02443484/n02443484_3535.JPEG 15,6,182,203,82
train/n02443484/n02443484_15513.JPEG 85,120,341,348,82
train/n02443484/n02443484_2820.JPEG 226,133,497,331,82
train/n02443484/n02443484_7712.JPEG 23,29,139,151,82
train/n02128757/n02128757_6631.JPEG 1,52,336,498,61
val_original/ILSVRC2012_val_00041476.JPEG 0,101,550,855,61
train/n02128757/n02128757_8623.JPEG 14,16,498,468,61
train/n01440764/n01440764_7426.JPEG 139,149,394,271,0
val_original/ILSVRC2012_val_00016018.JPEG 40,103,461,266,0
train/n01440764/n01440764_1337.JPEG 9,169,342,324,0
train/n01601694/n01601694_9811.JPEG 228,158,293,214,8
train/n01601694/n01601694_3430.JPEG 209,165,293,271,8
train/n01601694/n01601694_9098.JPEG 128,68,391,302,8
train/n02422106/n02422106_1764.JPEG 3,41,252,379,77
train/n02443114/n02443114_6212.JPEG 58,73,499,341,81
train/n02443114/n02443114_14136.JPEG 47,58,186,159,81
train/n02123159/n02123159_6045.JPEG 68,4,499,332,58
val_original/ILSVRC2012_val_00013550.JPEG 251,374,808,792,58
train/n02123159/n02123159_2486.JPEG 32,155,382,440,58
train/n01632458/n01632458_2039.JPEG 97,72,419,244,10
train/n01632458/n01632458_6841.JPEG 101,81,421,316,10
train/n02488291/n02488291_2222.JPEG 55,67,147,416,88 133,156,229,472,88
val_original/ILSVRC2012_val_00003438.JPEG 140,94,535,588,88
train/n02488291/n02488291_5364.JPEG 103,179,207,374,88
train/n02488291/n02488291_2666.JPEG 170,102,344,315,88
train/n02488291/n02488291_354.JPEG 1,2,113,111,88
train/n02643566/n02643566_1803.JPEG 2,1,482,370,99
train/n02643566/n02643566_1410.JPEG 98,19,481,321,99
train/n02488291/n02488291_6516.JPEG 13,1,72,67,88
train/n01632458/n01632458_2003.JPEG 43,241,127,307,10
train/n02443484/n02443484_11724.JPEG 1,72,243,160,82
train/n02443484/n02443484_12164.JPEG 32,10,431,332,82
train/n02443484/n02443484_70.JPEG 9,3,142,83,82
train/n02443484/n02443484_139.JPEG 1,19,181,135,82
train/n02051845/n02051845_9961.JPEG 101,97,222,258,46
train/n02051845/n02051845_4187.JPEG 145,56,499,374,46
train/n02051845/n02051845_2450.JPEG 117,50,300,482,46
train/n02051845/n02051845_31580.JPEG 3,2,498,373,46
train/n02066245/n02066245_1313.JPEG 186,19,300,153,47
val_original/ILSVRC2012_val_00022756.JPEG 0,134,340,332,47
train/n02488291/n02488291_6643.JPEG 1,96,286,498,88
train/n02488291/n02488291_4115.JPEG 11,75,272,389,88
train/n02488291/n02488291_5103.JPEG 170,94,431,300,88
train/n02480855/n02480855_16225.JPEG 1,1,499,374,86
train/n02480855/n02480855_17588.JPEG 163,74,499,302,86
train/n02480855/n02480855_36636.JPEG 28,1,228,175,86
train/n02422106/n02422106_408.JPEG 15,28,107,95,77
train/n01582220/n01582220_9196.JPEG 97,106,337,284,6
train/n01582220/n01582220_6331.JPEG 23,178,217,428,6
train/n02443114/n02443114_12580.JPEG 1,12,499,316,81
train/n02443114/n02443114_3524.JPEG 25,12,199,162,81
train/n02443114/n02443114_1942.JPEG 74,95,117,131,81
train/n02443114/n02443114_8356.JPEG 159,41,329,242,81
train/n01756291/n01756291_4846.JPEG 1,1,700,407,25
train/n01756291/n01756291_18166.JPEG 1,46,449,295,25
train/n01756291/n01756291_16403.JPEG 57,47,409,307,25
train/n01756291/n01756291_736.JPEG 3,49,398,267,25
train/n02480855/n02480855_4347.JPEG 159,102,359,323,86
train/n02480855/n02480855_6423.JPEG 154,115,268,263,86
train/n02480855/n02480855_4814.JPEG 53,63,391,342,86
train/n02397096/n02397096_6625.JPEG 138,19,418,354,73
train/n02397096/n02397096_919.JPEG 107,54,479,326,73
train/n02397096/n02397096_90.JPEG 156,12,499,333,73
train/n01843065/n01843065_4171.JPEG 187,57,311,284,31
train/n01843065/n01843065_3255.JPEG 19,31,488,489,31
val_original/ILSVRC2012_val_00009964.JPEG 307,190,613,479,58 66,21,546,162,58 2,259,355,487,58 90,60,587,326,58
train/n02123159/n02123159_4932.JPEG 200,32,415,276,58 46,234,292,438,58
train/n02123159/n02123159_2754.JPEG 99,51,384,440,58
val_original/ILSVRC2012_val_00007676.JPEG 1,5,454,410,58
train/n01797886/n01797886_17087.JPEG 48,41,468,433,26
train/n01797886/n01797886_3662.JPEG 220,53,488,332,26
train/n01797886/n01797886_16836.JPEG 108,117,753,588,26
val_original/ILSVRC2012_val_00039964.JPEG 84,26,475,346,26
train/n02488291/n02488291_259.JPEG 222,56,428,798,88
train/n02488291/n02488291_5586.JPEG 98,66,329,498,88
train/n02457408/n02457408_25802.JPEG 22,26,257,308,84 256,26,472,308,84
train/n02457408/n02457408_10828.JPEG 260,288,721,906,84
train/n02457408/n02457408_9469.JPEG 114,1,314,345,84
train/n02457408/n02457408_529.JPEG 152,99,301,255,84
train/n02457408/n02457408_2357.JPEG 105,10,475,344,84
train/n02443484/n02443484_14241.JPEG 1,95,458,263,82
train/n02443484/n02443484_10810.JPEG 65,1,295,343,82
train/n02111129/n02111129_390.JPEG 44,49,369,311,51
train/n02111129/n02111129_7865.JPEG 156,79,371,326,51 308,43,499,331,51 98,67,213,293,51 47,56,177,294,51 1,105,32,232,51
train/n02111129/n02111129_6487.JPEG 1,183,154,265,51 401,171,499,261,51 303,177,396,263,51 257,176,302,239,51 151,184,279,275,51 355,164,397,213,51
train/n02111129/n02111129_4483.JPEG 99,62,300,225,51
train/n02123159/n02123159_2052.JPEG 1,1,498,255,58
train/n02123159/n02123159_6667.JPEG 1,1,331,498,58
train/n02643566/n02643566_1376.JPEG 1,4,402,333,99
train/n01592084/n01592084_7229.JPEG 143,102,454,313,7
train/n01592084/n01592084_2714.JPEG 101,69,462,322,7
train/n01728920/n01728920_5382.JPEG 156,139,499,191,21
val_original/ILSVRC2012_val_00035019.JPEG 1,28,499,374,21
train/n01728920/n01728920_1272.JPEG 534,394,684,649,21
train/n01728920/n01728920_8374.JPEG 22,31,417,269,21
train/n01728920/n01728920_13942.JPEG 59,67,360,236,21
train/n01592084/n01592084_3028.JPEG 188,113,427,282,7
train/n01592084/n01592084_3997.JPEG 115,103,280,451,7
train/n01592084/n01592084_6093.JPEG 121,169,427,280,7
train/n01592084/n01592084_6313.JPEG 40,102,202,235,7
train/n01740131/n01740131_14502.JPEG 50,78,445,292,23
train/n01740131/n01740131_2601.JPEG 63,75,619,520,23
train/n02111129/n02111129_5409.JPEG 48,214,316,470,51
train/n02111129/n02111129_1752.JPEG 10,33,283,409,51
train/n02111129/n02111129_2743.JPEG 142,110,436,269,51
train/n02086646/n02086646_1005.JPEG 1,4,598,346,48
train/n02085782/n02085782_1552.JPEG 1,8,155,229,48
val_original/ILSVRC2012_val_00020031.JPEG 51,5,279,266,48
train/n02111129/n02111129_2072.JPEG 2,58,427,320,51
train/n02111129/n02111129_2700.JPEG 121,87,439,315,51
train/n02111129/n02111129_6826.JPEG 37,131,274,498,51
train/n01753488/n01753488_6843.JPEG 37,52,401,269,24
train/n01644373/n01644373_5487.JPEG 113,106,435,345,11
train/n01644373/n01644373_9308.JPEG 194,125,447,245,11
train/n01644373/n01644373_2788.JPEG 116,94,382,290,11
train/n01644373/n01644373_8600.JPEG 174,199,305,278,11
train/n01883070/n01883070_2181.JPEG 88,55,499,373,38
train/n01883070/n01883070_2955.JPEG 138,19,347,329,38
train/n02027492/n02027492_2075.JPEG 62,85,438,314,44
train/n02027492/n02027492_7353.JPEG 219,95,431,217,44
train/n02027492/n02027492_3107.JPEG 169,134,355,274,44
train/n02027492/n02027492_3273.JPEG 31,81,481,322,44
train/n02027492/n02027492_5669.JPEG 131,34,458,311,44
train/n01537544/n01537544_8382.JPEG 213,181,286,278,3
train/n01537544/n01537544_9538.JPEG 232,11,319,105,3
train/n01537544/n01537544_9541.JPEG 252,120,346,326,3
train/n01740131/n01740131_6164.JPEG 122,45,330,337,23
train/n01740131/n01740131_4419.JPEG 131,45,384,284,23
train/n01740131/n01740131_10238.JPEG 1,1,495,374,23
val_original/ILSVRC2012_val_00011034.JPEG 0,92,426,327,23
train/n01740131/n01740131_9663.JPEG 253,5,766,416,23
train/n02443484/n02443484_4272.JPEG 125,61,334,430,82
train/n01843065/n01843065_1556.JPEG 90,22,321,454,31
train/n01843065/n01843065_5252.JPEG 236,36,412,332,31
train/n01843065/n01843065_4297.JPEG 40,55,290,304,31 335,11,459,293,31
train/n01843065/n01843065_126.JPEG 322,141,432,331,31
train/n02494079/n02494079_398.JPEG 26,23,480,477,93
train/n02494079/n02494079_4019.JPEG 118,192,285,368,93
train/n02123159/n02123159_6025.JPEG 33,199,351,327,58
val_original/ILSVRC2012_val_00022822.JPEG 30,53,324,465,58
val_original/ILSVRC2012_val_00025723.JPEG 33,60,359,471,58
train/n02123159/n02123159_492.JPEG 5,22,355,446,58
train/n01558993/n01558993_5645.JPEG 147,49,312,280,4
train/n01558993/n01558993_5031.JPEG 121,213,354,377,4
val_original/ILSVRC2012_val_00019038.JPEG 207,85,489,362,4
train/n01558993/n01558993_2366.JPEG 137,127,436,261,4
train/n01558993/n01558993_17569.JPEG 217,123,305,294,4
train/n02086079/n02086079_1618.JPEG 1,1,499,307,48
train/n02086910/n02086910_9844.JPEG 21,11,405,496,48
train/n02086079/n02086079_1759.JPEG 24,17,472,353,48
train/n01665541/n01665541_4094.JPEG 43,56,204,168,13
train/n01665541/n01665541_4212.JPEG 57,145,477,301,13
train/n01665541/n01665541_33714.JPEG 15,257,183,428,13
train/n01665541/n01665541_15966.JPEG 1,53,444,340,13
val_original/ILSVRC2012_val_00024494.JPEG 298,216,378,259,13 192,245,239,297,13 262,240,304,271,13 363,213,444,250,13
train/n02410509/n02410509_13602.JPEG 1,1,372,331,76
train/n02410509/n02410509_958.JPEG 107,50,387,246,76
train/n02410509/n02410509_173.JPEG 51,1,333,498,76
train/n01440764/n01440764_7185.JPEG 116,162,313,261,0
train/n01440764/n01440764_29712.JPEG 89,187,385,296,0
train/n01440764/n01440764_5314.JPEG 85,211,393,363,0
train/n01843065/n01843065_3562.JPEG 155,92,270,311,31
train/n01843065/n01843065_3062.JPEG 72,47,216,472,31
train/n01843065/n01843065_2132.JPEG 151,84,361,359,31
train/n01843065/n01843065_4986.JPEG 57,116,427,478,31
train/n01871265/n01871265_1738.JPEG 95,24,298,302,35
train/n01871265/n01871265_3881.JPEG 167,164,392,337,35
train/n01632458/n01632458_2146.JPEG 32,1,215,130,10
train/n01632458/n01632458_3141.JPEG 114,173,402,306,10
train/n02483362/n02483362_10241.JPEG 1,1,499,374,87
train/n02483362/n02483362_11668.JPEG 43,8,499,373,87
train/n01665541/n01665541_2428.JPEG 1,70,466,347,13
train/n01665541/n01665541_21861.JPEG 25,87,315,242,13
val_original/ILSVRC2012_val_00047546.JPEG 178,134,395,349,13
train/n01665541/n01665541_3498.JPEG 46,174,473,315,13
train/n02437616/n02437616_13387.JPEG 3,1,439,332,79
train/n02397096/n02397096_6104.JPEG 219,186,253,216,73 74,160,111,218,73 253,185,267,218,73
train/n02397096/n02397096_1059.JPEG 23,59,491,343,73
train/n02397096/n02397096_969.JPEG 90,85,341,250,73
train/n01873310/n01873310_55652.JPEG 160,82,300,141,36
train/n02492035/n02492035_12570.JPEG 223,79,299,223,92
train/n02492035/n02492035_7528.JPEG 185,118,275,233,92
train/n02492035/n02492035_5885.JPEG 87,81,363,498,92
train/n02492035/n02492035_4257.JPEG 157,116,398,291,92
train/n01632458/n01632458_865.JPEG 29,49,349,214,10
train/n01632458/n01632458_4704.JPEG 122,128,344,253,10
train/n01756291/n01756291_17831.JPEG 1,104,399,300,25
train/n01756291/n01756291_7822.JPEG 90,41,725,543,25
train/n01756291/n01756291_7726.JPEG 1,96,683,538,25
train/n01728920/n01728920_8433.JPEG 1,92,499,332,21
train/n01728920/n01728920_9550.JPEG 1,1,499,337,21
train/n02408429/n02408429_10095.JPEG 121,81,413,202,75
train/n02408429/n02408429_9667.JPEG 260,101,499,176,75 1,100,258,173,75
train/n02408429/n02408429_5227.JPEG 47,213,373,285,75 28,293,373,351,75 147,120,331,180,75
train/n02408429/n02408429_862.JPEG 243,169,360,236,75 80,138,124,228,75
train/n02443114/n02443114_22972.JPEG 45,94,421,194,81
train/n02443114/n02443114_5932.JPEG 160,211,389,322,81
train/n02443114/n02443114_35231.JPEG 2,69,412,412,81
train/n02480495/n02480495_6753.JPEG 1,1,472,337,85
train/n02480495/n02480495_16675.JPEG 52,93,467,498,85
train/n02480495/n02480495_139.JPEG 25,1,124,88,85
train/n02488291/n02488291_6037.JPEG 1,16,390,378,88
train/n02488291/n02488291_2786.JPEG 325,101,563,424,88 1,72,333,424,88
train/n02488291/n02488291_1495.JPEG 231,222,283,310,88 292,150,312,189,88
train/n02086646/n02086646_5531.JPEG 95,21,433,308,48
train/n02086646/n02086646_9313.JPEG 308,111,479,291,48 63,111,270,319,48
train/n02085782/n02085782_5980.JPEG 2,1,298,174,48
train/n02086646/n02086646_3815.JPEG 183,111,381,320,48
train/n02437616/n02437616_15004.JPEG 138,20,396,339,79
train/n02437616/n02437616_1397.JPEG 1,1,318,274,79
train/n02437616/n02437616_12044.JPEG 7,56,331,498,79
train/n02006656/n02006656_7147.JPEG 57,25,427,476,39
train/n02006656/n02006656_11100.JPEG 60,53,373,498,39
train/n02006656/n02006656_11671.JPEG 27,35,368,265,39
train/n02130308/n02130308_9374.JPEG 21,8,187,130,65
train/n02130308/n02130308_8874.JPEG 49,66,465,327,65
train/n02130308/n02130308_13840.JPEG 1,156,258,399,65
train/n02006656/n02006656_6133.JPEG 70,93,368,293,39
train/n02006656/n02006656_8641.JPEG 62,84,499,332,39
train/n02006656/n02006656_6153.JPEG 47,38,403,436,39
train/n02006656/n02006656_7079.JPEG 105,87,199,380,39
train/n02086910/n02086910_4424.JPEG 53,1,452,399,48
train/n02085782/n02085782_3244.JPEG 23,6,159,118,48
train/n02086079/n02086079_7301.JPEG 210,117,499,327,48
train/n01735189/n01735189_10245.JPEG 1,76,409,131,22
train/n01735189/n01735189_5673.JPEG 17,50,248,183,22
train/n01735189/n01735189_738.JPEG 96,120,441,386,22
val_original/ILSVRC2012_val_00003644.JPEG 0,0,347,250,22 267,0,455,332,22
train/n01753488/n01753488_16747.JPEG 93,109,373,234,24
train/n01753488/n01753488_9392.JPEG 43,123,499,249,24
train/n01753488/n01753488_5706.JPEG 19,11,499,206,24
train/n02437616/n02437616_13492.JPEG 239,123,692,1136,79
train/n02437616/n02437616_908.JPEG 193,1,421,295,79 25,1,149,184,79
train/n02437616/n02437616_16364.JPEG 106,27,388,326,79
train/n02437616/n02437616_13024.JPEG 75,97,358,498,79
train/n01871265/n01871265_8809.JPEG 140,12,498,322,35
train/n01871265/n01871265_2402.JPEG 1,13,349,472,35
train/n01871265/n01871265_413.JPEG 87,80,483,347,35
train/n01871265/n01871265_2095.JPEG 220,106,464,243,35 33,112,204,212,35
train/n01440764/n01440764_1980.JPEG 65,57,255,199,0
val_original/ILSVRC2012_val_00017472.JPEG 3,121,445,279,0
train/n01440764/n01440764_8885.JPEG 95,245,285,381,0
train/n01440764/n01440764_7501.JPEG 160,209,379,322,0
train/n01665541/n01665541_1856.JPEG 193,175,318,243,13
train/n01665541/n01665541_15580.JPEG 77,129,480,399,13
train/n02514041/n02514041_10731.JPEG 5,141,487,286,96
train/n02514041/n02514041_14239.JPEG 95,178,314,239,96
train/n02514041/n02514041_4420.JPEG 1,58,727,477,96
train/n02514041/n02514041_11062.JPEG 87,67,666,236,96
train/n02129165/n02129165_487.JPEG 137,48,355,325,63
train/n02129165/n02129165_22076.JPEG 11,13,436,365,63
train/n02129165/n02129165_23013.JPEG 42,65,471,278,63
train/n02514041/n02514041_3023.JPEG 76,120,490,227,96
train/n02514041/n02514041_8468.JPEG 368,59,651,766,96
train/n02120505/n02120505_23330.JPEG 29,42,474,298,57
train/n02120505/n02120505_4314.JPEG 66,70,445,269,57
train/n02120505/n02120505_9871.JPEG 68,77,395,264,57
train/n01665541/n01665541_135.JPEG 18,40,321,498,13
train/n02480855/n02480855_25601.JPEG 1,1,251,187,86
train/n02480855/n02480855_6415.JPEG 77,1,497,325,86
train/n02643566/n02643566_890.JPEG 16,28,396,328,99
train/n02643566/n02643566_15816.JPEG 4,15,499,373,99
train/n02643566/n02643566_3686.JPEG 1,1,416,333,99
train/n02643566/n02643566_2326.JPEG 1,1,425,498,99
train/n02051845/n02051845_44305.JPEG 134,167,326,451,46
val_original/ILSVRC2012_val_00015716.JPEG 54,37,419,229,46
train/n01740131/n01740131_1082.JPEG 1,84,350,233,23
val_original/ILSVRC2012_val_00019669.JPEG 205,138,281,497,23
train/n02443484/n02443484_456.JPEG 100,28,421,315,82
train/n02443484/n02443484_4558.JPEG 153,117,397,374,82
train/n02443484/n02443484_7216.JPEG 146,2,499,235,82
train/n02443484/n02443484_14512.JPEG 190,16,395,374,82
train/n01735189/n01735189_5539.JPEG 1,64,467,285,22
train/n01735189/n01735189_3111.JPEG 103,38,409,184,22
train/n01735189/n01735189_7814.JPEG 1,11,474,219,22
train/n01735189/n01735189_14451.JPEG 141,142,454,259,22
train/n02457408/n02457408_2500.JPEG 1,1,61,62,84
train/n02457408/n02457408_5468.JPEG 100,74,419,317,84
train/n02457408/n02457408_4331.JPEG 19,10,79,108,84
train/n01601694/n01601694_5188.JPEG 169,129,288,270,8
train/n01601694/n01601694_288.JPEG 170,101,351,306,8
train/n01601694/n01601694_8819.JPEG 87,66,343,231,8
train/n01601694/n01601694_9429.JPEG 180,104,265,176,8
train/n01537544/n01537544_6386.JPEG 90,57,392,371,3
train/n01537544/n01537544_9030.JPEG 89,35,421,356,3
train/n01537544/n01537544_2840.JPEG 304,69,395,212,3
train/n01537544/n01537544_2594.JPEG 62,155,435,385,3
train/n02408429/n02408429_1761.JPEG 10,1,499,249,75
train/n02408429/n02408429_5119.JPEG 1,10,423,374,75
train/n01644373/n01644373_15072.JPEG 22,126,462,428,11
val_original/ILSVRC2012_val_00032104.JPEG 76,98,449,310,11
val_original/ILSVRC2012_val_00037122.JPEG 8,20,61,62,81
train/n02443114/n02443114_39946.JPEG 131,55,404,392,81
train/n02443114/n02443114_15646.JPEG 206,14,399,211,81 1,12,196,225,81
train/n02120505/n02120505_15192.JPEG 27,60,419,288,57
train/n02120505/n02120505_14597.JPEG 173,52,445,200,57
val_original/ILSVRC2012_val_00024025.JPEG 248,85,373,477,6
train/n01582220/n01582220_5793.JPEG 163,130,305,374,6
val_original/ILSVRC2012_val_00035348.JPEG 350,161,446,473,6 44,70,311,368,6
val_original/ILSVRC2012_val_00037261.JPEG 31,131,332,456,16
train/n01694178/n01694178_8472.JPEG 2,1,436,432,16
train/n01694178/n01694178_1015.JPEG 128,162,284,280,16
train/n01694178/n01694178_640.JPEG 0,233,902,647,16
train/n01756291/n01756291_16530.JPEG 59,53,486,414,25
train/n01756291/n01756291_3186.JPEG 11,1,193,159,25
train/n01797886/n01797886_9779.JPEG 23,50,170,172,26
train/n01797886/n01797886_19545.JPEG 232,113,1022,766,26
train/n01797886/n01797886_12582.JPEG 53,59,481,305,26
train/n02422106/n02422106_4936.JPEG 20,12,355,497,77
